mission_time,cabin_CO2_ppm,cabin_O2_pct,cabin_RH_pct,cabin_temp_C,crew,lamp_duty,scrubber_cmd,power_kW
MD013T18:00,7128,14.2,42,21.74,4,0.65,1.0,3.86
MD013T19:00,7118,14.155,41,21.71,4,0.65,1.0,3.82
MD013T20:00,7158,14.168,40,21.55,4,0.65,1.0,3.88
MD013T21:00,7157,14.138,42,21.44,4,0.65,1.0,3.85
MD013T22:00,7181,14.138,42,21.52,4,0.65,1.0,3.98
MD013T23:00,7220,14.134,43,21.38,4,0.65,1.0,3.99
MD014T00:00,7218,14.072,44,21.52,4,1.0,1.0,3.95
MD014T01:00,7227,14.066,45,21.68,4,1.0,1.0,4.01
MD014T02:00,7263,14.036,48,21.83,4,1.0,1.0,3.89
MD014T03:00,7294,14.037,46,21.5,4,1.0,1.0,3.91
MD014T04:00,7262,14.045,48,21.51,4,1.0,1.0,3.86
MD014T05:00,7274,14.026,47,21.47,4,1.0,1.0,3.88
MD014T06:00,7337,13.993,48,21.34,4,1.0,1.0,3.92
MD014T07:00,7339,13.981,47,21.54,4,1.0,1.0,3.89
MD014T08:00,7324,13.933,48,21.51,4,1.0,1.0,3.87
MD014T09:00,7286,13.96,46,21.53,4,1.0,1.0,3.89
MD014T10:00,7359,13.919,45,21.66,4,1.0,1.0,3.96
MD014T11:00,7402,13.924,46,21.74,4,1.0,1.0,3.98
MD014T12:00,7412,13.882,44,21.66,4,1.0,1.0,4.0
MD014T13:00,7393,13.909,43,21.42,4,1.0,1.0,3.87
MD014T14:00,7390,13.93,43,21.75,4,1.0,1.0,3.93
MD014T15:00,7438,13.901,41,21.48,4,1.0,1.0,3.85
MD014T16:00,7460,13.867,41,21.45,4,1.0,1.0,3.87
MD014T17:00,7455,13.855,41,21.48,4,1.0,1.0,3.87
MD014T18:00,7491,13.893,41,21.8,4,0.65,1.0,3.91
MD014T19:00,7440,13.828,40,21.65,4,0.65,1.0,3.91
MD014T20:00,7431,13.804,43,21.53,4,0.65,1.0,3.91
MD014T21:00,7478,13.797,42,21.54,4,0.65,1.0,3.86
MD014T22:00,7493,13.764,41,21.37,4,0.65,1.0,3.97
MD014T23:00,7516,13.794,44,21.69,4,0.65,1.0,3.75
