timestamp,EC_mS_cm,pH,water_temp_C,air_temp_C,RH_pct,DO_mgL,rootzone_water_L,irrigation_L_day,PPFD_umol
2026-04-24T06:00,2.436,5.86,20.1,24.0,60,7.12,3.96,9.0,240
2026-04-24T12:00,2.376,5.81,19.49,21.5,62,7.57,3.93,9.0,240
2026-04-24T18:00,2.345,5.88,18.71,19.8,67,7.5,3.94,9.0,240
2026-04-25T00:00,2.372,5.82,19.42,21.4,71,7.35,3.96,9.0,0
2026-04-25T06:00,2.355,5.9,19.98,23.8,66,7.6,3.94,9.0,240
2026-04-25T12:00,2.373,5.85,19.34,21.7,63,7.45,3.95,9.0,240
2026-04-25T18:00,2.418,5.85,18.87,19.8,68,7.41,3.99,9.0,240
2026-04-26T00:00,2.428,5.84,19.56,21.8,70,7.48,3.92,9.0,0
2026-04-26T06:00,2.408,5.86,19.99,23.8,63,7.33,3.97,9.0,240
2026-04-26T12:00,2.408,5.83,19.56,21.7,63,7.56,3.94,9.0,240
2026-04-26T18:00,2.395,5.86,18.85,19.8,69,7.54,3.97,9.0,240
2026-04-27T00:00,2.413,5.89,19.41,21.7,71,7.63,3.96,9.0,0
2026-04-27T06:00,2.399,5.85,19.99,24.0,63,7.23,3.96,9.0,240
2026-04-27T12:00,2.432,5.84,19.35,21.7,62,7.45,3.93,9.0,240
2026-04-27T18:00,2.439,5.84,18.88,19.6,69,7.36,3.94,9.0,240
2026-04-28T00:00,2.482,5.79,19.53,21.6,71,7.56,3.95,9.0,0
2026-04-28T06:00,2.484,5.83,19.88,24.0,65,7.29,3.97,9.0,240
2026-04-28T12:00,2.457,5.83,19.44,21.8,62,7.31,3.92,9.0,240
2026-04-28T18:00,2.442,5.81,18.71,19.3,69,7.32,3.9,9.0,240
2026-04-29T00:00,2.58,5.82,19.3,22.0,73,7.26,3.91,9.0,0
2026-04-29T06:00,2.484,5.88,19.98,23.8,63,7.54,3.92,9.0,240
2026-04-29T12:00,2.51,5.81,19.57,22.2,62,7.38,3.96,9.0,240
2026-04-29T18:00,2.466,5.86,18.69,19.3,67,7.36,3.95,9.0,240
2026-04-30T00:00,2.558,5.86,19.32,21.9,71,7.54,3.92,9.0,0
2026-04-30T06:00,2.462,5.84,20.17,24.1,63,7.51,3.95,9.0,240
2026-04-30T12:00,2.566,5.83,19.41,21.8,60,7.27,3.95,9.0,240
2026-04-30T18:00,2.589,5.87,18.84,19.7,72,7.43,3.96,9.0,240
2026-05-01T00:00,2.627,5.85,19.42,22.0,74,7.44,3.95,9.0,0
2026-05-01T06:00,2.579,5.81,20.09,23.9,61,7.38,3.91,9.0,240
2026-05-01T12:00,2.551,5.85,19.33,22.0,58,7.43,3.95,9.0,240
2026-05-01T18:00,2.628,5.88,18.82,19.6,68,7.54,3.93,9.0,240
2026-05-02T00:00,2.602,5.85,19.42,21.7,75,7.32,3.95,9.0,0
2026-05-02T06:00,2.596,5.87,20.04,24.1,65,7.22,3.94,9.0,240
2026-05-02T12:00,2.552,5.86,19.31,21.6,60,7.57,3.95,9.0,240
2026-05-02T18:00,2.598,5.89,18.73,19.2,68,7.37,3.97,9.0,240
2026-05-03T00:00,2.654,5.81,19.6,22.1,73,7.45,3.99,9.0,0
2026-05-03T06:00,2.592,5.84,20.01,23.7,64,7.39,3.95,9.0,240
2026-05-03T12:00,2.601,5.82,19.51,21.6,62,7.21,3.95,9.0,240
2026-05-03T18:00,2.566,5.85,18.75,19.2,67,7.41,3.96,9.0,240
2026-05-04T00:00,2.546,5.79,19.33,21.8,71,7.3,3.96,9.0,0
2026-05-04T06:00,2.619,5.87,19.93,24.0,63,7.23,3.96,9.0,240
2026-05-04T12:00,2.593,5.84,19.51,22.0,62,7.55,3.96,9.0,240
2026-05-04T18:00,2.552,5.84,18.88,19.4,69,7.45,3.97,9.0,240
2026-05-05T00:00,2.629,5.88,19.39,22.0,72,7.38,3.97,9.0,0
2026-05-05T06:00,2.605,5.83,20.1,24.0,64,7.22,3.94,9.0,240
2026-05-05T12:00,2.562,5.82,19.25,22.2,60,7.43,3.97,9.0,240
2026-05-05T18:00,2.587,5.87,18.69,19.6,68,7.46,3.95,9.0,240
2026-05-06T00:00,2.549,5.79,19.32,21.9,72,7.45,3.9,9.0,0
2026-05-06T06:00,2.51,5.83,19.97,23.9,64,7.38,3.92,9.0,240
2026-05-06T12:00,2.564,5.85,19.41,21.8,64,7.37,3.95,9.0,240
2026-05-06T18:00,2.56,5.84,18.84,19.7,68,7.45,3.94,9.0,240
2026-05-07T00:00,2.534,5.75,19.58,22.0,71,7.19,3.92,9.0,0
2026-05-07T06:00,2.631,5.77,19.97,24.2,64,7.49,3.94,9.0,240
2026-05-07T12:00,2.662,5.82,19.29,21.9,63,7.39,3.96,9.0,240
2026-05-07T18:00,2.574,5.81,18.91,19.9,71,7.35,3.92,9.0,240
2026-05-08T00:00,2.555,5.84,19.45,21.9,69,7.42,3.94,9.0,0
2026-05-08T06:00,2.593,5.85,19.98,24.1,64,7.43,3.93,9.0,240
2026-05-08T12:00,2.602,5.85,19.23,21.9,60,7.51,3.94,9.0,240
2026-05-08T18:00,2.587,5.86,18.8,19.5,66,7.62,3.91,9.0,240
2026-05-09T00:00,2.58,5.87,19.43,21.9,73,7.55,3.95,9.0,0
2026-05-09T06:00,2.677,5.82,20.02,23.9,63,7.43,3.97,9.0,240
2026-05-09T12:00,2.569,5.83,19.46,21.9,63,7.52,3.95,9.0,240
2026-05-09T18:00,2.58,5.86,18.79,19.3,69,7.38,3.94,9.0,240
2026-05-10T00:00,2.577,5.9,19.46,22.0,71,7.28,3.94,9.0,0
2026-05-10T06:00,2.597,5.84,19.98,24.2,64,7.28,3.93,9.0,240
2026-05-10T12:00,2.57,5.86,19.31,21.8,62,7.4,3.92,9.0,240
2026-05-10T18:00,2.571,5.85,18.84,19.8,68,7.24,3.97,9.0,240
2026-05-11T00:00,2.599,5.86,19.42,21.6,71,7.43,3.96,9.0,0
2026-05-11T06:00,2.592,5.76,19.98,24.1,65,7.49,3.99,9.0,240
2026-05-11T12:00,2.633,5.89,19.48,21.5,62,7.47,3.93,9.0,240
2026-05-11T18:00,2.608,5.86,18.76,19.6,68,7.43,3.93,9.0,240
2026-05-12T00:00,2.606,5.79,19.38,21.5,71,7.46,3.94,9.0,0
2026-05-12T06:00,2.587,5.85,20.13,23.8,65,7.22,3.93,9.0,240
2026-05-12T12:00,2.595,5.82,19.42,21.9,59,7.39,3.94,9.0,240
2026-05-12T18:00,2.532,5.84,18.74,19.9,67,7.6,3.93,9.0,240
