hour,biomass_gL,glucose_gL,DO_pct,pH,temp_C,agitation_rpm,titer_mgL,feed_mL_h,offgas_CO2_pct
112,10.552,0.64,95.3,7.034,37.0,320,2.7,44.2,3.5
113,10.361,0.4,96.6,7.027,37.0,320,2.65,44.5,3.41
114,10.421,0.36,94.9,7.022,37.0,320,2.68,43.2,3.57
115,10.477,0.51,94.7,7.026,37.0,320,3.07,45.7,3.44
116,10.372,0.08,95.0,7.029,37.0,320,3.06,45.2,3.54
117,10.388,0.6,94.8,7.012,37.0,320,2.18,46.2,3.38
118,10.476,0.37,95.4,7.013,37.0,320,2.91,44.8,3.44
119,10.405,0.23,95.1,7.032,37.0,320,2.81,45.1,3.56
120,10.363,0.63,94.9,7.014,37.0,320,2.84,43.9,3.49
121,10.45,0.33,94.7,7.026,37.0,320,2.96,44.1,3.54
122,10.409,0.56,94.5,7.029,37.0,320,2.47,45.3,3.51
123,10.469,0.36,95.5,7.02,37.0,320,3.11,44.7,3.47
124,10.417,0.5,94.8,7.005,37.0,320,2.05,43.5,3.47
125,10.442,0.51,94.1,7.018,37.0,320,2.69,47.8,3.56
126,10.424,0.31,94.8,7.016,37.0,320,2.84,47.1,3.49
127,10.291,0.56,93.6,7.03,37.0,320,3.01,45.3,3.42
128,10.395,0.81,94.1,7.013,37.0,320,2.75,45.5,3.5
129,10.423,0.64,94.4,7.019,37.0,320,2.76,43.9,3.5
130,10.404,0.69,95.2,7.007,37.0,320,2.3,45.3,3.49
131,10.4,0.52,93.9,7.023,37.0,320,2.63,45.6,3.55
132,10.456,0.81,94.2,6.995,37.0,320,2.49,43.8,3.43
133,10.425,0.35,95.6,7.033,37.0,320,3.47,46.0,3.6
134,10.342,0.53,95.7,7.004,37.0,320,3.01,44.7,3.4
135,10.487,0.46,96.9,7.002,37.0,320,2.41,45.2,3.49
136,10.277,0.69,95.1,7.025,37.0,320,2.18,44.4,3.49
137,10.415,0.71,94.7,7.015,37.0,320,3.1,44.2,3.51
138,10.232,1.0,95.3,6.999,37.0,320,2.84,46.4,3.53
139,10.361,0.86,94.3,7.017,37.0,320,2.55,45.1,3.44
140,10.434,0.7,94.1,7.017,37.0,320,2.77,45.0,3.55
141,10.324,0.6,95.3,7.035,37.0,320,2.37,43.4,3.46
142,10.335,0.56,95.1,7.01,37.0,320,2.92,43.8,3.45
143,10.337,0.88,95.7,7.012,37.0,320,2.66,45.5,3.56
144,10.273,0.55,95.3,7.017,37.0,320,3.06,45.0,3.51
145,10.273,0.84,95.9,7.017,37.0,320,2.29,45.9,3.48
146,10.316,0.68,95.7,7.011,37.0,320,2.5,45.0,3.48
147,10.171,0.91,94.0,7.023,37.0,320,2.53,44.9,3.45
148,10.235,0.87,95.1,7.032,37.0,320,2.81,44.3,3.55
149,10.423,0.99,94.8,7.008,37.0,320,2.67,43.5,3.53
150,10.26,0.77,95.2,7.005,37.0,320,2.12,44.5,3.55
151,10.223,1.05,93.5,7.019,37.0,320,2.79,46.8,3.4
152,10.261,0.75,95.2,7.013,37.0,320,2.66,44.2,3.46
153,10.28,1.2,95.1,7.021,37.0,320,2.49,46.5,3.39
154,10.127,0.82,95.3,7.031,37.0,320,2.8,45.7,3.5
155,10.209,0.79,95.4,7.008,37.0,320,2.75,45.7,3.46
156,10.2,0.91,95.5,7.021,37.0,320,2.43,45.2,3.56
157,10.233,1.05,94.7,7.008,37.0,320,2.62,45.0,3.47
158,10.275,1.02,94.9,7.022,37.0,320,2.78,43.2,3.5
159,10.268,0.89,95.3,7.014,37.0,320,2.32,45.2,3.48
160,10.057,1.01,95.7,7.013,37.0,320,2.39,44.6,3.46
161,10.212,0.99,94.1,7.025,37.0,320,2.91,45.7,3.53
162,10.116,0.92,94.5,7.019,37.0,320,2.11,44.7,3.51
163,10.099,1.57,95.7,7.005,37.0,320,2.27,44.3,3.52
164,10.153,1.15,95.2,7.029,37.0,320,2.76,43.4,3.43
165,10.055,0.98,95.8,7.012,37.0,320,2.41,44.2,3.5
166,10.126,1.45,96.1,7.009,37.0,320,3.08,47.4,3.46
167,10.053,1.47,96.1,7.017,37.0,320,2.36,47.0,3.46
168,9.893,1.51,95.9,7.04,37.0,320,3.12,48.1,3.45
169,9.978,1.2,96.5,7.015,37.0,320,2.09,42.9,3.49
170,9.997,1.55,94.5,7.011,37.0,320,2.73,44.8,3.51
171,10.004,1.47,95.4,7.016,37.0,320,2.64,45.4,3.45
172,9.997,1.56,95.7,7.023,37.0,320,2.66,45.5,3.46
173,10.019,1.42,93.7,7.025,37.0,320,1.99,44.8,3.56
174,10.037,1.38,95.7,7.023,37.0,320,2.33,44.9,3.45
175,9.972,1.64,93.9,7.03,37.0,320,3.18,44.8,3.43
176,9.965,1.8,94.7,7.026,37.0,320,3.26,44.3,3.48
177,9.954,1.52,95.2,7.011,37.0,320,2.71,45.2,3.54
178,10.028,1.66,96.3,7.018,37.0,320,2.77,44.4,3.55
179,9.944,1.78,94.6,7.023,37.0,320,2.27,44.3,3.43
180,10.015,1.7,95.7,7.025,37.0,320,2.53,45.7,3.56
181,9.969,1.48,95.6,7.045,37.0,320,2.57,44.8,3.43
182,9.95,1.45,94.4,7.034,37.0,320,2.98,45.2,3.49
183,10.043,1.63,95.3,7.029,37.0,320,2.6,46.4,3.65
184,9.996,1.68,94.5,7.016,37.0,320,2.64,45.5,3.48
185,9.925,1.7,94.8,7.026,37.0,320,2.54,45.0,3.48
186,9.871,1.85,94.5,7.026,37.0,320,2.78,44.6,3.42
187,10.032,1.46,95.1,7.027,37.0,320,2.47,43.4,3.45
188,10.027,1.48,95.9,7.003,37.0,320,2.32,43.4,3.44
189,10.087,1.72,95.0,7.014,37.0,320,2.93,45.0,3.43
190,10.088,1.38,95.3,7.028,37.0,320,2.87,47.0,3.52
191,9.953,1.82,95.4,7.006,37.0,320,2.26,44.2,3.37
192,10.02,1.71,95.5,7.01,37.0,320,2.56,46.2,3.5
193,9.985,1.48,95.1,7.036,37.0,320,2.58,47.3,3.6
194,10.037,1.32,94.9,7.036,37.0,320,2.41,44.3,3.48
195,10.155,1.52,93.6,7.024,37.0,320,2.69,45.8,3.48
196,10.015,1.52,95.9,7.02,37.0,320,2.73,44.3,3.55
197,10.009,1.53,95.1,7.007,37.0,320,2.39,45.8,3.51
198,10.045,1.73,94.9,7.021,37.0,320,3.14,44.9,3.4
199,9.994,1.53,95.0,7.02,37.0,320,2.26,45.4,3.47
200,10.029,1.47,94.3,7.014,37.0,320,3.05,43.2,3.53
201,9.99,1.8,94.8,7.024,37.0,320,2.66,47.1,3.47
202,10.006,1.45,95.3,7.01,37.0,320,2.52,45.3,3.5
203,9.938,1.43,96.0,7.013,37.0,320,2.6,44.7,3.4
204,9.986,1.57,96.5,6.997,37.0,320,2.39,45.6,3.45
205,9.864,1.7,95.2,7.009,37.0,320,2.25,44.3,3.49
206,9.982,1.47,95.3,7.032,37.0,320,2.37,46.5,3.48
207,10.028,1.66,95.4,7.022,37.0,320,1.87,44.0,3.52
208,9.929,1.61,93.8,7.012,37.0,320,3.0,45.2,3.43
209,9.953,1.28,95.4,7.016,37.0,320,2.75,45.7,3.46
210,9.932,1.36,94.7,7.019,37.0,320,2.94,43.9,3.49
211,9.926,1.47,95.6,7.024,37.0,320,2.37,44.2,3.53
212,9.977,1.52,94.1,7.048,37.0,320,3.07,45.4,3.58
213,10.019,1.52,95.4,7.036,37.0,320,2.2,46.1,3.53
214,10.082,1.67,95.9,6.999,37.0,320,2.53,46.0,3.5
215,10.01,1.37,94.9,6.999,37.0,320,2.48,45.3,3.45
